Koordinatat e Katit 6 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
2,7511951.505,4692298.454,636.783,Kati 6,Shtëpi-Ndërtesë,PM
3,7511954.134,4692295.181,636.767,Kati 6,Shtëpi-Ndërtesë,PM
4,7511953.884,4692294.972,636.768,Kati 6,Shtëpi-Ndërtesë,PM
5,7511955.632,4692292.721,636.771,Kati 6,Shtëpi-Ndërtesë,PM
6,7511956.978,4692293.775,636.779,Kati 6,Shtëpi-Ndërtesë,PM
7,7511963.351,4692285.915,636.781,Kati 6,Shtëpi-Ndërtesë,PM
8,7511968.900,4692290.415,636.765,Kati 6,Shtëpi-Ndërtesë,PM
9,7511967.482,4692292.147,636.786,Kati 6,Shtëpi-Ndërtesë,PM
10,7511970.851,4692294.854,636.780,Kati 6,Shtëpi-Ndërtesë,PM
11,7511970.306,4692295.514,636.792,Kati 6,Shtëpi-Ndërtesë,PM
12,7511975.249,4692299.462,636.751,Kati 6,Shtëpi-Ndërtesë,PM
13,7511969.567,4692306.553,636.786,Kati 6,Shtëpi-Ndërtesë,PM
14,7511969.867,4692306.805,636.785,Kati 6,Shtëpi-Ndërtesë,PM
15,7511967.613,4692309.624,636.800,Kati 6,Shtëpi-Ndërtesë,PM
16,7511966.347,4692308.627,636.793,Kati 6,Shtëpi-Ndërtesë,PM
17,7511965.490,4692309.704,636.766,Kati 6,Shtëpi-Ndërtesë,PM
18,7511942.262,4692295.096,636.793,Kati 6,Shtëpi-Ndërtesë,PM
19,7511942.534,4692295.287,636.793,Kati 6,Shtëpi-Ndërtesë,PM
20,7511943.278,4692294.373,636.793,Kati 6,Shtëpi-Ndërtesë,PM
21,7511946.244,4692296.746,636.793,Kati 6,Shtëpi-Ndërtesë,PM
22,7511945.505,4692297.683,636.793,Kati 6,Shtëpi-Ndërtesë,PM
23,7511949.564,4692300.871,636.793,Kati 6,Shtëpi-Ndërtesë,PM
24,7511951.415,4692298.587,636.793,Kati 6,Shtëpi-Ndërtesë,PM
25,7511965.381,4692309.841,636.793,Kati 6,Shtëpi-Ndërtesë,PM
26,7511964.609,4692310.791,636.793,Kati 6,Shtëpi-Ndërtesë,PM
27,7511975.257,4692319.325,636.793,Kati 6,Shtëpi-Ndërtesë,PM
28,7511964.833,4692332.296,636.793,Kati 6,Shtëpi-Ndërtesë,PM
29,7511932.214,4692306.093,636.793,Kati 6,Shtëpi-Ndërtesë,PM
30,7511939.114,4692297.472,636.793,Kati 6,Shtëpi-Ndërtesë,PM
31,7511939.851,4692298.064,636.793,Kati 6,Shtëpi-Ndërtesë,PM
